event_id,publication_date
05544dfdf999e1a6fbfaa843f9c267db054a821f,2017-01-04
80457341f85fb92c5dfcb4efaec5d316e5f69d5a,2017-01-05
fed3a4f3925baabc9538f6485c4ca1d6174afb36,2017-01-05
0dc893cc8c1b393459e3a59c958cae0250a2facc,2017-01-05
76404276df4b48782bb38a589067a5d79b7978bf,2017-01-06
4f4c53070382b0c1ed97e6b61ae96ed22e2e8277,2017-01-13
f216967d0b8650510d21eea5ec32810bdb62a78b,2017-01-18
1cbc56a29bfb24024a53d01a9c7fb1a721a35e6c,2017-01-23
5c8af91d26e2a53e97313609f6577b6ddbcef908,2017-01-24
fdbe91136e7bceb2bdf8e95399355d840c0a8c16,2017-01-30
3903a44bd5aaa2b06fb9b543405a060a6afe5455,2017-01-31
091e222ddf98abcbeab4e48eb192ad569a7de8c4,2017-02-02
564f51f047a5fc640824c1f0faf4aa50557e0fef,2017-02-06
6c8e4cbc8f50d08efaa3b4a518d665cf0171d46f,2017-02-08
fefd0fe0dce9d165401068a70f413b295fd13e86,2017-02-09
5e55f829d3ada44effd0da03515170f3cd7d850f,2017-02-13
c50a37831abdbb19abf583ce5e7a649d5ac9dc28,2017-02-16
d81b4e65bd7d92972e168d701e3699cc172fbf51,2017-02-22
76a05b9de62ebc3c2fffdbdeccbd2b6a75df51ac,2017-02-23
1f3dec4f906a6b268310341dde81febf0dbeb641,2017-03-01
18295898842697260a04494828d298c990208488,2017-03-06
16f2068e8ee1e624d56e924cba71db711c017c90,2017-03-06
6ae53a023f70dac6a0a0653385cc1e4b7ed17531,2017-03-07
ba222653e6b0c1f5844dd5fb14d17cf0a823ba20,2017-03-08
1a4b5ed01a5f54431ecfa431509b999c48c2b8cb,2017-03-14
6eb4f14809fee065ff5cd3d763899f5d987551f5,2017-03-15
a76f29cc39db8b024092974ef03fdc471ec916a9,2017-03-17
22685c6e9e51ea492e8503c5a53f22bda30af633,2017-03-21
eea48271d654b51f5958c25554d57f6806707ed1,2017-03-21
5fb99cde5bb95858cd46ea7f31085f578a4f068a,2017-03-29
bfd1f85c1c803a517af3d534402629fb480084a6,2017-04-03
0945553c6c5faf8b63542c41af814b6b9f08b7d7,2017-04-04
76bf3952c0c9f5c0bca22f0098122ff2ea7d5ef1,2017-04-05
d1ac769f175cece0c2a689c1e3cd97f66bef88d0,2017-04-05
2142f243ae6dc0d9c715a782835f38cdc3900144,2017-04-05
98684bf052505b942186ea078a558f03eaf15600,2017-04-06
c58e5d25d5f69126fdf43e00c7dff2b6cea1c03c,2017-04-06
2e91395246434e5822d657c8e5cf05848bebf136,2017-04-06
860910fda0bcdef5118c377a49ff237af5ef58ee,2017-04-10
c4a4fb5b346b0ebda989999963bd607d81a6e9af,2017-04-10
b6cdd8ed3ab3d742a5338f4311d394400368df0a,2017-04-11
7d0aca6f2bcf2a60f4c861c1bb9875490dfd28c4,2017-04-12
ef13bf8faa6ad214a5cdd4d42daf216413fa4d16,2017-04-13
b707774c64305af7c5b39a6ff1a82a8156ea188b,2017-04-17
d5b4d0854f1a20f4991743fe7c6cb7b48cee8654,2017-04-19
7527ea06ecafb14bee2db214c5dbea42aca132ee,2017-04-20
3313c677a21df95fa7b08482227c46f4177bfa4f,2017-04-20
95ab4eb33bd837f05a0afec71fa386193276a9b6,2017-04-25
b5f8c4afc98a45e91dfcc0ade369aae94db65725,2017-04-26
61b2093a541a98bfa1d2b1da984707c8c1c995e1,2017-05-01
eb7dca22bab929d9527447b78c4da14eff8be7d8,2017-05-01
ec8f250411de5bf80598ff8e8a509c9598843175,2017-05-01
a888a4e8e027cb4cf8dd6ffde163969d73c1531d,2017-05-02
8f4dce1e97f21a9d4c69df1dfb65c4ec633f19ac,2017-05-02
d1e4bd568df135033124c8cc223647e0c8a7e421,2017-05-09
42e9b97180b02659c7b7af39fb24d0837e366537,2017-05-11
5e8a362a46291628be32be22dc7c4a0fa81e30d5,2017-05-11
67a44552ad3a2ec75cd228d5d2917f88172c7643,2017-05-15
ba63dcc9eb491bcf53ec88d215ffaa129fc27701,2017-05-17
ae51f994f8fd99b2c453ad6c27030ed9683adda4,2017-05-17
383423b1ff07165c993683bcd83d1bf6094b4add,2017-05-18
cd6d5dfc2efa67d72cc5ad98faeac045185bb6bc,2017-05-18
11748da809c2cb2f19aef84bcf5a18e375443997,2017-05-18
44fd2cb0694344b4b1b7f132d10f89f7a63783f8,2017-05-18
da105a963fae5aa4e083e41ea508ae6a36d5dd30,2017-05-19
08a7733224571803a563e06f34f6d4be04a5e0f1,2017-05-22
936ed7224671145a0bf989ff58f594a6b39072c5,2017-05-23
4015735a4b63f7631978e4f0f607e15de61cb080,2017-05-24
91d1ed3485e825b753da2860b2b8f5e334f22ba1,2017-05-24
aecf0ed61287b588203cfc28b8e200678eb9ca02,2017-05-25
425d06477139c13787fb0a3677ddf42833854c66,2017-05-25
f9d2672ea8cef984825c43d11df376a28ad7721a,2017-05-26
2dd7a636490c0db85510b088932d193378e47677,2017-05-26
