model,split,accuracy,macro_f1
market_only,train,0.5238392945279853,0.3586411608685822
market_only,validation,0.5278976572133169,0.3651472567143019
market_only,test,0.5147581517539793,0.3701045705761488
material_tone_only,train,0.5157118883880096,0.3403050065554366
material_tone_only,validation,0.5172626387176326,0.34120507982732146
material_tone_only,test,0.49698655540101994,0.33199132858470115
all_text,train,0.8125760916060676,0.8122630490781205
all_text,validation,0.5097102342786684,0.5096447085724256
all_text,test,0.5013135527739144,0.5006605955151817
claim_aware,train,0.8121154289098746,0.8117995873374602
claim_aware,validation,0.5101726263871763,0.5101122954808102
claim_aware,test,0.5006954102920723,0.5000963927958011
claim_finbert_aware,train,0.7345266690796617,0.7332736592856854
claim_finbert_aware,validation,0.5095561035758323,0.5092501408437312
claim_finbert_aware,test,0.5037861227012826,0.5032223133583575
